"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
16 Jun 2026 06:32:02.053,-18.782,2.200031,-186.782,-158.477780,-32.959064,8.858156,5000.000,-58.1315,-58.1315,4.993004e-01
16 Jun 2026 06:33:02.000,-19.333,2.200026,-186.550,-158.246027,-32.719444,9.329529,5000.000,-57.6602,-57.6602,4.992614e-01
16 Jun 2026 06:34:02.000,-20.878,2.200019,-187.426,-159.121786,-32.316311,8.856903,5000.000,-58.1328,-58.1328,4.993005e-01
16 Jun 2026 06:35:02.000,-22.943,2.200010,-189.022,-160.717486,-32.071818,7.505696,5000.000,-59.4840,-59.4840,4.994013e-01
16 Jun 2026 06:36:02.000,-24.160,2.200001,-190.052,-161.747817,-32.015730,6.531454,5000.000,-60.4582,-60.4582,4.994648e-01
16 Jun 2026 06:37:02.000,-23.276,2.199991,-189.319,-161.014748,-32.061378,7.218875,5000.000,-59.7708,-59.7708,4.994207e-01
16 Jun 2026 06:38:02.000,-21.241,2.199982,-187.725,-159.421262,-32.284327,8.589412,5000.000,-58.4003,-58.4003,4.993217e-01
16 Jun 2026 06:39:02.000,-19.551,2.199975,-186.689,-158.385214,-32.685860,9.223927,5000.000,-57.7658,-57.7658,4.992703e-01
16 Jun 2026 06:40:02.000,-18.803,2.199969,-186.718,-158.413494,-32.964518,8.916989,5000.000,-58.0727,-58.0727,4.992956e-01
16 Jun 2026 06:40:13.461,-18.782,2.199969,-186.853,-158.548867,-32.972851,8.773283,5000.000,-58.2164,-58.2164,4.993072e-01
16 Jun 2026 08:08:31.957,-18.782,2.200047,-186.806,-158.502008,-32.956350,8.836643,5000.000,-58.1531,-58.1531,4.993021e-01
16 Jun 2026 08:09:31.000,-20.387,2.200046,-187.120,-158.816050,-32.413482,9.065469,5000.000,-57.9242,-57.9242,4.992835e-01
16 Jun 2026 08:10:31.000,-33.938,2.200044,-199.177,-170.872385,-32.194952,-2.772336,5000.000,-69.7620,-69.7620,4.998166e-01
16 Jun 2026 08:11:31.000,-16.265,2.200041,-179.806,-151.501970,-46.030333,2.762698,5000.000,-64.2270,-64.2270,4.996532e-01
16 Jun 2026 08:12:31.000,-6.392,2.200034,-168.083,-139.778937,-24.828709,35.687355,5000.000,-31.3023,-31.3023,4.846467e-01
16 Jun 2026 08:13:31.000,-1.539,2.200022,-161.504,-133.199607,-23.668151,43.427243,5000.000,-23.5625,-23.5625,4.626178e-01
16 Jun 2026 08:14:31.000,-1.038,2.200002,-160.115,-131.811142,-37.479669,31.004190,5000.000,-35.9855,-35.9855,4.910440e-01
16 Jun 2026 08:15:31.000,-1.159,2.199981,-160.855,-132.550511,-25.543336,42.201154,5000.000,-24.7885,-24.7885,4.675274e-01
16 Jun 2026 08:16:31.000,-4.931,2.199967,-166.259,-137.955270,-23.226744,39.112987,5000.000,-27.8767,-27.8767,4.772305e-01
