"Time (UTCG)","Xmtr Power (dBW)","Xmtr Gain (dB)","EIRP (dBW)","Free Space Loss (dB)","Atmos Loss (dB)","Rain Loss (dB)","CloudsFog Loss (dB)","TropoScintill Loss (dB)","Prop Loss (dB)","Freq. Doppler Shift (kHz)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","Tatmos (K)","Train (K)","TcloudsFog (K)","TtropoScintill (K)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","Bandwidth Overlap (units)","C/N (dB)","Eb/No (dB)","BER"
16 Jun 2026 06:32:02.053,6.990,0.0000,6.990,167.9725,0.0000,0.0000,0.0000,0.0000,167.9725,30.958959,2.200031,-161.010,-132.705728,0.000,0.000,0.000,0.000,20.00000000,87.589273,5000.000000,0.9938,20.5996,20.5996,1.000000e-30
16 Jun 2026 06:33:02.000,6.990,0.0000,6.990,167.1951,0.0000,0.0000,0.0000,0.0000,167.1951,25.651324,2.200026,-160.228,-131.923640,0.000,0.000,0.000,0.000,20.00000000,88.371360,5000.000000,0.9949,21.3817,21.3817,1.000000e-30
16 Jun 2026 06:34:02.000,6.990,0.0000,6.990,166.5313,0.0000,0.0000,0.0000,0.0000,166.5313,18.697803,2.200019,-159.558,-131.253787,0.000,0.000,0.000,0.000,20.00000000,89.041214,5000.000000,0.9963,22.0515,22.0515,1.000000e-30
16 Jun 2026 06:35:02.000,6.990,0.0000,6.990,166.0696,0.0000,0.0000,0.0000,0.0000,166.0696,10.144867,2.200010,-159.089,-130.784635,0.000,0.000,0.000,0.000,20.00000000,89.510366,5000.000000,0.9980,22.5207,22.5207,1.000000e-30
16 Jun 2026 06:36:02.000,6.990,0.0000,6.990,165.8916,0.0000,0.0000,0.0000,0.0000,165.8916,0.528814,2.200001,-158.902,-130.598291,0.000,0.000,0.000,0.000,20.00000000,89.696710,5000.000000,0.9999,22.7070,22.7070,1.000000e-30
16 Jun 2026 06:37:02.000,6.990,0.0000,6.990,166.0345,0.0000,0.0000,0.0000,0.0000,166.0345,-9.158875,2.199991,-159.053,-130.748704,0.000,0.000,0.000,0.000,20.00000000,89.546297,5000.000000,0.9982,22.5566,22.5566,1.000000e-30
16 Jun 2026 06:38:02.000,6.990,0.0000,6.990,166.4689,0.0000,0.0000,0.0000,0.0000,166.4689,-17.893799,2.199982,-159.495,-131.190641,0.000,0.000,0.000,0.000,20.00000000,89.104359,5000.000000,0.9964,22.1147,22.1147,1.000000e-30
16 Jun 2026 06:39:02.000,6.990,0.0000,6.990,167.1163,0.0000,0.0000,0.0000,0.0000,167.1163,-25.072318,2.199975,-160.148,-131.844281,0.000,0.000,0.000,0.000,20.00000000,88.450720,5000.000000,0.9950,21.4610,21.4610,1.000000e-30
16 Jun 2026 06:40:02.000,6.990,0.0000,6.990,167.8880,0.0000,0.0000,0.0000,0.0000,167.8880,-30.599316,2.199969,-160.925,-132.620816,0.000,0.000,0.000,0.000,20.00000000,87.674185,5000.000000,0.9939,20.6845,20.6845,1.000000e-30
16 Jun 2026 06:40:13.461,6.990,0.0000,6.990,168.0432,0.0000,0.0000,0.0000,0.0000,168.0432,-31.482253,2.199969,-161.081,-132.776794,0.000,0.000,0.000,0.000,20.00000000,87.518207,5000.000000,0.9937,20.5285,20.5285,1.000000e-30
16 Jun 2026 08:08:31.957,6.990,0.0000,6.990,167.9827,0.0000,0.0000,0.0000,0.0000,167.9827,47.033302,2.200047,-161.034,-132.729977,0.000,0.000,0.000,0.000,20.00000000,87.565024,5000.000000,0.9906,20.5753,20.5753,1.000000e-30
16 Jun 2026 08:09:31.000,6.990,0.0000,6.990,166.6931,0.0000,0.0000,0.0000,0.0000,166.6931,46.079864,2.200046,-159.744,-131.439473,0.000,0.000,0.000,0.000,20.00000000,88.855527,5000.000000,0.9908,21.8658,21.8658,1.000000e-30
16 Jun 2026 08:10:31.000,6.990,0.0000,6.990,165.1995,0.0000,0.0000,0.0000,0.0000,165.1995,44.268279,2.200044,-158.248,-129.944305,0.000,0.000,0.000,0.000,20.00000000,90.350696,5000.000000,0.9911,23.3610,23.3610,1.000000e-30
16 Jun 2026 08:11:31.000,6.990,0.0000,6.990,163.5054,0.0000,0.0000,0.0000,0.0000,163.5054,40.872897,2.200041,-156.551,-128.247210,0.000,0.000,0.000,0.000,20.00000000,92.047791,5000.000000,0.9918,25.0581,25.0581,1.000000e-30
16 Jun 2026 08:12:31.000,6.990,0.0000,6.990,161.6613,0.0000,0.0000,0.0000,0.0000,161.6613,34.346290,2.200034,-154.702,-126.397456,0.000,0.000,0.000,0.000,20.00000000,93.897544,5000.000000,0.9931,26.9078,26.9078,1.000000e-30
16 Jun 2026 08:13:31.000,6.990,0.0000,6.990,159.9458,0.0000,0.0000,0.0000,0.0000,159.9458,21.943584,2.200022,-152.975,-124.671104,0.000,0.000,0.000,0.000,20.00000000,95.623897,5000.000000,0.9956,28.6342,28.6342,1.000000e-30
16 Jun 2026 08:14:31.000,6.990,0.0000,6.990,159.0757,0.0000,0.0000,0.0000,0.0000,159.0757,2.154648,2.200002,-152.088,-123.783766,0.000,0.000,0.000,0.000,20.00000000,96.511234,5000.000000,0.9996,29.5215,29.5215,1.000000e-30
16 Jun 2026 08:15:31.000,6.990,0.0000,6.990,159.6795,0.0000,0.0000,0.0000,0.0000,159.6795,-18.617849,2.199981,-152.706,-124.401964,0.000,0.000,0.000,0.000,20.00000000,95.893036,5000.000000,0.9963,28.9033,28.9033,1.000000e-30
16 Jun 2026 08:16:31.000,6.990,0.0000,6.990,161.2997,0.0000,0.0000,0.0000,0.0000,161.2997,-32.507414,2.199967,-154.338,-126.034303,0.000,0.000,0.000,0.000,20.00000000,94.260698,5000.000000,0.9935,27.2710,27.2710,1.000000e-30
16 Jun 2026 08:17:31.000,6.990,0.0000,6.990,163.1528,0.0000,0.0000,0.0000,0.0000,163.1528,-39.938998,2.199960,-156.198,-127.893801,0.000,0.000,0.000,0.000,20.00000000,92.401199,5000.000000,0.9920,25.4115,25.4115,1.000000e-30
16 Jun 2026 08:18:31.000,6.990,0.0000,6.990,164.8847,0.0000,0.0000,0.0000,0.0000,164.8847,-43.792883,2.199956,-157.933,-129.629105,0.000,0.000,0.000,0.000,20.00000000,90.665895,5000.000000,0.9912,23.6762,23.6762,1.000000e-30
16 Jun 2026 08:19:31.000,6.990,0.0000,6.990,166.4178,0.0000,0.0000,0.0000,0.0000,166.4178,-45.842466,2.199954,-159.468,-131.164041,0.000,0.000,0.000,0.000,20.00000000,89.130960,5000.000000,0.9908,22.1413,22.1413,1.000000e-30
16 Jun 2026 08:20:31.000,6.990,0.0000,6.990,167.7615,0.0000,0.0000,0.0000,0.0000,167.7615,-46.940796,2.199953,-160.813,-132.508714,0.000,0.000,0.000,0.000,20.00000000,87.786287,5000.000000,0.9906,20.7966,20.7966,1.000000e-30
16 Jun 2026 08:20:45.417,6.990,0.0000,6.990,168.0592,0.0000,0.0000,0.0000,0.0000,168.0592,-47.113744,2.199953,-161.111,-132.806600,0.000,0.000,0.000,0.000,20.00000000,87.488401,5000.000000,0.9906,20.4987,20.4987,1.000000e-30
16 Jun 2026 09:47:30.835,6.990,0.0000,6.990,168.0158,0.0000,0.0000,0.0000,0.0000,168.0158,49.100705,2.200049,-161.069,-132.764896,0.000,0.000,0.000,0.000,20.00000000,87.530105,5000.000000,0.9902,20.5404,20.5404,1.000000e-30
16 Jun 2026 09:48:30.000,6.990,0.0000,6.990,166.6555,0.0000,0.0000,0.0000,0.0000,166.6555,48.982197,2.200049,-159.709,-131.404412,0.000,0.000,0.000,0.000,20.00000000,88.890588,5000.000000,0.9902,21.9009,21.9009,1.000000e-30
16 Jun 2026 09:49:30.000,6.990,0.0000,6.990,165.0267,0.0000,0.0000,0.0000,0.0000,165.0267,48.524811,2.200049,-158.079,-129.775320,0.000,0.000,0.000,0.000,20.00000000,90.519681,5000.000000,0.9903,23.5300,23.5300,1.000000e-30
16 Jun 2026 09:50:30.000,6.990,0.0000,6.990,163.0550,0.0000,0.0000,0.0000,0.0000,163.0550,47.399254,2.200047,-156.107,-127.802553,0.000,0.000,0.000,0.000,20.00000000,92.492448,5000.000000,0.9905,25.5027,25.5027,1.000000e-30
16 Jun 2026 09:51:30.000,6.990,0.0000,6.990,160.6104,0.0000,0.0000,0.0000,0.0000,160.6104,44.682332,2.200045,-153.660,-125.355577,0.000,0.000,0.000,0.000,20.00000000,94.939424,5000.000000,0.9911,27.9497,27.9497,1.000000e-30
16 Jun 2026 09:52:30.000,6.990,0.0000,6.990,157.6031,0.0000,0.0000,0.0000,0.0000,157.6031,37.299004,2.200037,-150.646,-122.341766,0.000,0.000,0.000,0.000,20.00000000,97.953234,5000.000000,0.9925,30.9635,30.9635,1.000000e-30
16 Jun 2026 09:53:30.000,6.990,0.0000,6.990,154.7387,0.0000,0.0000,0.0000,0.0000,154.7387,15.692989,2.200016,-147.763,-119.458534,0.000,0.000,0.000,0.000,20.00000000,100.836467,5000.000000,0.9969,33.8468,33.8468,1.000000e-30
16 Jun 2026 09:54:30.000,6.990,0.0000,6.990,155.0205,0.0000,0.0000,0.0000,0.0000,155.0205,-19.884762,2.199980,-148.048,-119.743983,0.000,0.000,0.000,0.000,20.00000000,100.551018,5000.000000,0.9960,33.5613,33.5613,1.000000e-30
16 Jun 2026 09:55:30.000,6.990,0.0000,6.990,158.0320,0.0000,0.0000,0.0000,0.0000,158.0320,-38.798544,2.199961,-151.076,-122.771979,0.000,0.000,0.000,0.000,20.00000000,97.523022,5000.000000,0.9922,30.5333,30.5333,1.000000e-30
16 Jun 2026 09:56:30.000,6.990,0.0000,6.990,160.9696,0.0000,0.0000,0.0000,0.0000,160.9696,-45.193300,2.199955,-154.019,-125.715238,0.000,0.000,0.000,0.000,20.00000000,94.579763,5000.000000,0.9910,27.5901,27.5901,1.000000e-30
16 Jun 2026 09:57:30.000,6.990,0.0000,6.990,163.3422,0.0000,0.0000,0.0000,0.0000,163.3422,-47.591060,2.199952,-156.394,-128.089908,0.000,0.000,0.000,0.000,20.00000000,92.205093,5000.000000,0.9905,25.2154,25.2154,1.000000e-30
16 Jun 2026 09:58:30.000,6.990,0.0000,6.990,165.2608,0.0000,0.0000,0.0000,0.0000,165.2608,-48.589390,2.199951,-158.314,-130.009420,0.000,0.000,0.000,0.000,20.00000000,90.285581,5000.000000,0.9903,23.2959,23.2959,1.000000e-30
16 Jun 2026 09:59:30.000,6.990,0.0000,6.990,166.8510,0.0000,0.0000,0.0000,0.0000,166.8510,-48.984079,2.199951,-159.904,-131.599987,0.000,0.000,0.000,0.000,20.00000000,88.695013,5000.000000,0.9902,21.7053,21.7053,1.000000e-30
16 Jun 2026 10:00:23.117,6.990,0.0000,6.990,168.0557,0.0000,0.0000,0.0000,0.0000,168.0557,-49.067510,2.199951,-161.109,-132.804768,0.000,0.000,0.000,0.000,20.00000000,87.490232,5000.000000,0.9902,20.5005,20.5005,1.000000e-30
16 Jun 2026 11:27:17.341,6.990,0.0000,6.990,168.0447,0.0000,0.0000,0.0000,0.0000,168.0447,48.784541,2.200049,-161.098,-132.793469,0.000,0.000,0.000,0.000,20.00000000,87.501532,5000.000000,0.9902,20.5118,20.5118,1.000000e-30
16 Jun 2026 11:28:17.000,6.990,0.0000,6.990,166.6875,0.0000,0.0000,0.0000,0.0000,166.6875,48.599073,2.200049,-159.740,-131.436137,0.000,0.000,0.000,0.000,20.00000000,88.858864,5000.000000,0.9903,21.8692,21.8692,1.000000e-30
16 Jun 2026 11:29:17.000,6.990,0.0000,6.990,165.0813,0.0000,0.0000,0.0000,0.0000,165.0813,48.032898,2.200048,-158.134,-129.829408,0.000,0.000,0.000,0.000,20.00000000,90.465593,5000.000000,0.9904,23.4759,23.4759,1.000000e-30
16 Jun 2026 11:30:17.000,6.990,0.0000,6.990,163.1498,0.0000,0.0000,0.0000,0.0000,163.1498,46.719037,2.200047,-156.201,-127.896777,0.000,0.000,0.000,0.000,20.00000000,92.398224,5000.000000,0.9906,25.4085,25.4085,1.000000e-30
16 Jun 2026 11:31:17.000,6.990,0.0000,6.990,160.7858,0.0000,0.0000,0.0000,0.0000,160.7858,43.660862,2.200044,-153.834,-125.530124,0.000,0.000,0.000,0.000,20.00000000,94.764877,5000.000000,0.9913,27.7752,27.7752,1.000000e-30
16 Jun 2026 11:32:17.000,6.990,0.0000,6.990,157.9566,0.0000,0.0000,0.0000,0.0000,157.9566,35.755882,2.200036,-150.998,-122.693956,0.000,0.000,0.000,0.000,20.00000000,97.601044,5000.000000,0.9928,30.6113,30.6113,1.000000e-30
16 Jun 2026 11:33:17.000,6.990,0.0000,6.990,155.3976,0.0000,0.0000,0.0000,0.0000,155.3976,14.630705,2.200015,-148.421,-120.116596,0.000,0.000,0.000,0.000,20.00000000,100.178405,5000.000000,0.9971,33.1887,33.1887,1.000000e-30
16 Jun 2026 11:34:17.000,6.990,0.0000,6.990,155.6238,0.0000,0.0000,0.0000,0.0000,155.6238,-18.319794,2.199982,-148.650,-120.345953,0.000,0.000,0.000,0.000,20.00000000,99.949048,5000.000000,0.9963,32.9593,32.9593,1.000000e-30
16 Jun 2026 11:35:17.000,6.990,0.0000,6.990,158.3264,0.0000,0.0000,0.0000,0.0000,158.3264,-37.232936,2.199963,-151.369,-123.065045,0.000,0.000,0.000,0.000,20.00000000,97.229955,5000.000000,0.9925,30.2403,30.2403,1.000000e-30
16 Jun 2026 11:36:17.000,6.990,0.0000,6.990,161.1083,0.0000,0.0000,0.0000,0.0000,161.1083,-44.208953,2.199956,-154.157,-125.853080,0.000,0.000,0.000,0.000,20.00000000,94.441921,5000.000000,0.9911,27.4522,27.4522,1.000000e-30
16 Jun 2026 11:37:17.000,6.990,0.0000,6.990,163.4127,0.0000,0.0000,0.0000,0.0000,163.4127,-46.949608,2.199953,-156.464,-128.159908,0.000,0.000,0.000,0.000,20.00000000,92.135093,5000.000000,0.9906,25.1454,25.1454,1.000000e-30
16 Jun 2026 11:38:17.000,6.990,0.0000,6.990,165.2982,0.0000,0.0000,0.0000,0.0000,165.2982,-48.136829,2.199952,-158.351,-130.046481,0.000,0.000,0.000,0.000,20.00000000,90.248520,5000.000000,0.9904,23.2588,23.2588,1.000000e-30
16 Jun 2026 11:39:17.000,6.990,0.0000,6.990,166.8705,0.0000,0.0000,0.0000,0.0000,166.8705,-48.642995,2.199951,-159.923,-131.619205,0.000,0.000,0.000,0.000,20.00000000,88.675795,5000.000000,0.9903,21.6861,21.6861,1.000000e-30
16 Jun 2026 11:40:08.750,6.990,0.0000,6.990,168.0368,0.0000,0.0000,0.0000,0.0000,168.0368,-48.789465,2.199951,-161.090,-132.785595,0.000,0.000,0.000,0.000,20.00000000,87.509406,5000.000000,0.9902,20.5197,20.5197,1.000000e-30
16 Jun 2026 13:06:58.906,6.990,0.0000,6.990,168.0585,0.0000,0.0000,0.0000,0.0000,168.0585,49.039980,2.200049,-161.112,-132.807550,0.000,0.000,0.000,0.000,20.00000000,87.487451,5000.000000,0.9902,20.4978,20.4978,1.000000e-30
16 Jun 2026 13:07:58.000,6.990,0.0000,6.990,166.7094,0.0000,0.0000,0.0000,0.0000,166.7094,48.891326,2.200049,-159.762,-131.458264,0.000,0.000,0.000,0.000,20.00000000,88.836737,5000.000000,0.9902,21.8470,21.8470,1.000000e-30
16 Jun 2026 13:08:58.000,6.990,0.0000,6.990,165.0959,0.0000,0.0000,0.0000,0.0000,165.0959,48.381102,2.200048,-158.148,-129.844352,0.000,0.000,0.000,0.000,20.00000000,90.450649,5000.000000,0.9903,23.4609,23.4609,1.000000e-30
16 Jun 2026 13:09:58.000,6.990,0.0000,6.990,163.1503,0.0000,0.0000,0.0000,0.0000,163.1503,47.160930,2.200047,-156.202,-127.897634,0.000,0.000,0.000,0.000,20.00000000,92.397367,5000.000000,0.9906,25.4077,25.4077,1.000000e-30
16 Jun 2026 13:10:58.000,6.990,0.0000,6.990,160.7554,0.0000,0.0000,0.0000,0.0000,160.7554,44.271988,2.200044,-153.804,-125.500249,0.000,0.000,0.000,0.000,20.00000000,94.794752,5000.000000,0.9911,27.8051,27.8051,1.000000e-30
16 Jun 2026 13:11:58.000,6.990,0.0000,6.990,157.8524,0.0000,0.0000,0.0000,0.0000,157.8524,36.641929,2.200037,-150.895,-122.590582,0.000,0.000,0.000,0.000,20.00000000,97.704419,5000.000000,0.9927,30.7147,30.7147,1.000000e-30
16 Jun 2026 13:12:58.000,6.990,0.0000,6.990,155.1524,0.0000,0.0000,0.0000,0.0000,155.1524,15.410465,2.200015,-148.176,-119.872100,0.000,0.000,0.000,0.000,20.00000000,100.422901,5000.000000,0.9969,33.4332,33.4332,1.000000e-30
16 Jun 2026 13:13:58.000,6.990,0.0000,6.990,155.3669,0.0000,0.0000,0.0000,0.0000,155.3669,-18.775378,2.199981,-148.394,-120.089432,0.000,0.000,0.000,0.000,20.00000000,100.205568,5000.000000,0.9962,33.2159,33.2159,1.000000e-30
16 Jun 2026 13:14:58.000,6.990,0.0000,6.990,158.1928,0.0000,0.0000,0.0000,0.0000,158.1928,-37.929678,2.199962,-151.236,-122.932078,0.000,0.000,0.000,0.000,20.00000000,97.362923,5000.000000,0.9924,30.3732,30.3732,1.000000e-30
16 Jun 2026 13:15:58.000,6.990,0.0000,6.990,161.0475,0.0000,0.0000,0.0000,0.0000,161.0475,-44.740479,2.199955,-154.097,-125.792789,0.000,0.000,0.000,0.000,20.00000000,94.502212,5000.000000,0.9910,27.5125,27.5125,1.000000e-30
16 Jun 2026 13:16:58.000,6.990,0.0000,6.990,163.3870,0.0000,0.0000,0.0000,0.0000,163.3870,-47.359996,2.199953,-156.439,-128.134576,0.000,0.000,0.000,0.000,20.00000000,92.160425,5000.000000,0.9905,25.1707,25.1707,1.000000e-30
16 Jun 2026 13:17:58.000,6.990,0.0000,6.990,165.2910,0.0000,0.0000,0.0000,0.0000,165.2910,-48.475784,2.199952,-158.344,-130.039457,0.000,0.000,0.000,0.000,20.00000000,90.255544,5000.000000,0.9903,23.2658,23.2658,1.000000e-30
16 Jun 2026 13:18:58.000,6.990,0.0000,6.990,166.8739,0.0000,0.0000,0.0000,0.0000,166.8739,-48.938077,2.199951,-159.927,-131.622860,0.000,0.000,0.000,0.000,20.00000000,88.672141,5000.000000,0.9902,21.6824,21.6824,1.000000e-30
16 Jun 2026 13:19:47.794,6.990,0.0000,6.990,168.0046,0.0000,0.0000,0.0000,0.0000,168.0046,-49.057591,2.199951,-161.058,-132.753632,0.000,0.000,0.000,0.000,20.00000000,87.541368,5000.000000,0.9902,20.5517,20.5517,1.000000e-30
16 Jun 2026 14:46:41.811,6.990,0.0000,6.990,168.0570,0.0000,0.0000,0.0000,0.0000,168.0570,44.502106,2.200045,-161.106,-132.802051,0.000,0.000,0.000,0.000,20.00000000,87.492950,5000.000000,0.9911,20.5032,20.5032,1.000000e-30
16 Jun 2026 14:47:41.000,6.990,0.0000,6.990,166.8629,0.0000,0.0000,0.0000,0.0000,166.8629,42.670087,2.200043,-159.910,-131.606281,0.000,0.000,0.000,0.000,20.00000000,88.688720,5000.000000,0.9915,21.6990,21.6990,1.000000e-30
16 Jun 2026 14:48:41.000,6.990,0.0000,6.990,165.5411,0.0000,0.0000,0.0000,0.0000,165.5411,39.583654,2.200040,-158.586,-130.281824,0.000,0.000,0.000,0.000,20.00000000,90.013177,5000.000000,0.9921,23.0235,23.0235,1.000000e-30
16 Jun 2026 14:49:41.000,6.990,0.0000,6.990,164.1469,0.0000,0.0000,0.0000,0.0000,164.1469,34.433571,2.200034,-157.187,-128.883165,0.000,0.000,0.000,0.000,20.00000000,91.411836,5000.000000,0.9931,24.4221,24.4221,1.000000e-30
16 Jun 2026 14:50:41.000,6.990,0.0000,6.990,162.8086,0.0000,0.0000,0.0000,0.0000,162.8086,25.963965,2.200026,-155.842,-127.537452,0.000,0.000,0.000,0.000,20.00000000,92.757549,5000.000000,0.9948,25.7678,25.7678,1.000000e-30
16 Jun 2026 14:51:41.000,6.990,0.0000,6.990,161.8109,0.0000,0.0000,0.0000,0.0000,161.8109,13.077920,2.200013,-154.833,-126.528502,0.000,0.000,0.000,0.000,20.00000000,93.766498,5000.000000,0.9974,26.7768,26.7768,1.000000e-30
16 Jun 2026 14:52:41.000,6.990,0.0000,6.990,161.5356,0.0000,0.0000,0.0000,0.0000,161.5356,-3.112012,2.199997,-154.549,-126.244555,0.000,0.000,0.000,0.000,20.00000000,94.050446,5000.000000,0.9994,27.0607,27.0607,1.000000e-30
16 Jun 2026 14:53:41.000,6.990,0.0000,6.990,162.1216,0.0000,0.0000,0.0000,0.0000,162.1216,-18.418107,2.199982,-155.148,-126.843825,0.000,0.000,0.000,0.000,20.00000000,93.451175,5000.000000,0.9963,26.4615,26.4615,1.000000e-30
16 Jun 2026 14:54:41.000,6.990,0.0000,6.990,163.2911,0.0000,0.0000,0.0000,0.0000,163.2911,-29.582148,2.199970,-156.327,-128.023026,0.000,0.000,0.000,0.000,20.00000000,92.271974,5000.000000,0.9941,25.2823,25.2823,1.000000e-30
16 Jun 2026 14:55:41.000,6.990,0.0000,6.990,164.6732,0.0000,0.0000,0.0000,0.0000,164.6732,-36.623492,2.199963,-157.716,-129.411389,0.000,0.000,0.000,0.000,20.00000000,90.883611,5000.000000,0.9927,23.8939,23.8939,1.000000e-30
16 Jun 2026 14:56:41.000,6.990,0.0000,6.990,166.0477,0.0000,0.0000,0.0000,0.0000,166.0477,-40.858133,2.199959,-159.094,-130.789510,0.000,0.000,0.000,0.000,20.00000000,89.505490,5000.000000,0.9918,22.5158,22.5158,1.000000e-30
